Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92101;2124;2;1665;43;34;35;51;14;5;20;32;14;118;1299;20110101
AT1;AT13;AT130;92101;2125;2;2278;53;29;59;70;21;11;30;22;16;247;1720;20110101
AT1;AT13;AT130;92101;2126;2;3774;127;82;74;94;51;35;24;41;41;341;2864;20110101
AT1;AT13;AT130;92101;2127;2;763;10;5;21;9;6;4;5;16;5;110;572;20110101
AT1;AT13;AT130;92101;2128;2;133;20;12;2;3;9;9;2;0;1;25;50;20110101
AT1;AT13;AT130;92101;2129;2;3;0;0;0;0;0;0;0;0;0;1;2;20110101
AT1;AT13;AT130;92101;2130;2;7;0;0;0;0;0;0;0;0;0;0;7;20110101
AT1;AT13;AT130;92101;2199;2;289;4;0;2;1;2;0;1;2;2;8;267;20110101
AT1;AT13;AT130;92201;2201;2;1019;18;17;21;21;2;2;15;10;5;108;800;20110101
AT1;AT13;AT130;92201;2202;2;2177;62;29;42;31;20;9;20;18;10;246;1690;20110101
AT1;AT13;AT130;92201;2203;2;715;31;5;14;7;1;5;10;10;8;39;585;20110101
AT1;AT13;AT130;92201;2204;2;1940;42;17;35;37;13;1;14;29;14;111;1627;20110101
AT1;AT13;AT130;92201;2205;2;2562;32;16;47;70;8;6;17;36;20;192;2118;20110101
AT1;AT13;AT130;92201;2206;2;5950;190;172;60;128;48;24;37;75;35;541;4640;20110101
AT1;AT13;AT130;92201;2207;2;2429;40;9;44;76;16;14;24;25;14;206;1961;20110101
AT1;AT13;AT130;92201;2208;2;7800;381;242;83;297;133;57;109;81;49;1079;5289;20110101
