Bevölkerung in den Gemeinden Tirols nach Altersgruppen, Staatsangehörigkeit, Geburtsland und Migrationshintergrund;;;;;;;;;;;
Population in the municipalities of Tyrol by age, nationality, country of birth and migration background;;;;;;;;;;;
NUTS3;DISTRICT_CODE;NAME;AGE_GRP;POP_TOTAL;POP_AUT_NATIONALITY;POP_FOR_NATIONALITY;POP_AUT_BORN;POP_FOR_BORN;POP_NOM_BACKGROUND;POP_MIG_BACKGROUND;YEAR
AT332;70334;Neustift im Stubaital;46_65;1087;996;91;957;130;955;132;2010
AT332;70334;Neustift im Stubaital;65_00;566;550;16;525;41;525;41;2010
AT332;70335;Oberhofen im Inntal;0_15;325;300;25;316;9;295;30;2010
AT332;70335;Oberhofen im Inntal;16_25;207;193;14;191;16;190;17;2010
AT332;70335;Oberhofen im Inntal;26_45;512;464;48;439;73;437;75;2010
AT332;70335;Oberhofen im Inntal;46_65;432;408;24;376;56;376;56;2010
AT332;70335;Oberhofen im Inntal;65_00;206;195;11;175;31;175;31;2010
AT332;70336;Obernberg am Brenner;0_15;62;62;0;62;0;62;0;2010
AT332;70336;Obernberg am Brenner;16_25;51;50;1;50;1;50;1;2010
AT332;70336;Obernberg am Brenner;26_45;104;97;7;97;7;96;8;2010
AT332;70336;Obernberg am Brenner;46_65;97;93;4;91;6;91;6;2010
AT332;70336;Obernberg am Brenner;65_00;50;48;2;47;3;47;3;2010
AT332;70337;Oberperfuss;0_15;479;471;8;473;6;468;11;2010
AT332;70337;Oberperfuss;16_25;389;367;22;368;21;363;26;2010
AT332;70337;Oberperfuss;26_45;823;776;47;766;57;764;59;2010
AT332;70337;Oberperfuss;46_65;744;711;33;682;62;681;63;2010
AT332;70337;Oberperfuss;65_00;380;370;10;348;32;347;33;2010
AT332;70338;Patsch;0_15;148;136;12;139;9;133;15;2010
AT332;70338;Patsch;16_25;141;136;5;139;2;135;6;2010
AT332;70338;Patsch;26_45;303;268;35;266;37;265;38;2010
AT332;70338;Patsch;46_65;258;244;14;236;22;236;22;2010
AT332;70338;Patsch;65_00;163;156;7;133;30;133;30;2010
AT332;70339;Pettnau;0_15;121;120;1;117;4;117;4;2010
AT332;70339;Pettnau;16_25;127;119;8;120;7;118;9;2010
AT332;70339;Pettnau;26_45;247;233;14;228;19;228;19;2010
AT332;70339;Pettnau;46_65;243;230;13;225;18;224;19;2010
AT332;70339;Pettnau;65_00;155;149;6;140;15;138;17;2010
AT332;70340;Pfaffenhofen;0_15;204;195;9;191;13;185;19;2010
AT332;70340;Pfaffenhofen;16_25;140;128;12;127;13;123;17;2010
AT332;70340;Pfaffenhofen;26_45;319;280;39;264;55;261;58;2010
AT332;70340;Pfaffenhofen;46_65;253;239;14;229;24;228;25;2010
AT332;70340;Pfaffenhofen;65_00;146;141;5;132;14;132;14;2010
AT332;70341;Pfons;0_15;186;183;3;183;3;183;3;2010
AT332;70341;Pfons;16_25;157;156;1;156;1;155;2;2010
AT332;70341;Pfons;26_45;373;362;11;356;17;356;17;2010
AT332;70341;Pfons;46_65;326;316;10;310;16;310;16;2010
AT332;70341;Pfons;65_00;179;176;3;162;17;162;17;2010
AT332;70342;Polling in Tirol;0_15;188;174;14;181;7;171;17;2010
AT332;70342;Polling in Tirol;16_25;122;117;5;113;9;113;9;2010
AT332;70342;Polling in Tirol;26_45;310;284;26;279;31;276;34;2010
AT332;70342;Polling in Tirol;46_65;226;206;20;200;26;199;27;2010
AT332;70342;Polling in Tirol;65_00;106;103;3;91;15;91;15;2010
AT332;70343;Ranggen;0_15;184;180;4;176;8;174;10;2010
AT332;70343;Ranggen;16_25;127;125;2;123;4;122;5;2010
AT332;70343;Ranggen;26_45;289;267;22;263;26;263;26;2010
AT332;70343;Ranggen;46_65;242;228;14;220;22;219;23;2010
AT332;70343;Ranggen;65_00;130;127;3;120;10;120;10;2010
AT332;70344;Reith bei Seefeld;0_15;176;160;16;164;12;155;21;2010
AT332;70344;Reith bei Seefeld;16_25;152;136;16;134;18;133;19;2010
AT332;70344;Reith bei Seefeld;26_45;326;275;51;264;62;263;63;2010
AT332;70344;Reith bei Seefeld;46_65;307;269;38;257;50;257;50;2010
AT332;70344;Reith bei Seefeld;65_00;181;166;15;152;29;151;30;2010
AT332;70345;Rinn;0_15;310;291;19;300;10;286;24;2010
AT332;70345;Rinn;16_25;218;208;10;201;17;201;17;2010
AT332;70345;Rinn;26_45;538;492;46;477;61;477;61;2010
AT332;70345;Rinn;46_65;407;387;20;377;30;377;30;2010
AT332;70345;Rinn;65_00;182;175;7;157;25;156;26;2010
AT332;70346;Rum;0_15;1471;1351;120;1401;70;1309;162;2010
AT332;70346;Rum;16_25;1010;922;88;864;146;855;155;2010
AT332;70346;Rum;26_45;2599;2266;333;2133;466;2104;495;2010
AT332;70346;Rum;46_65;2300;2103;197;1908;392;1904;396;2010
AT332;70346;Rum;65_00;1470;1430;40;1224;246;1222;248;2010
AT332;70347;St.Sigmund/Sellrain;0_15;27;23;4;26;1;23;4;2010
AT332;70347;St.Sigmund/Sellrain;16_25;28;22;6;22;6;22;6;2010
AT332;70347;St.Sigmund/Sellrain;26_45;32;29;3;29;3;29;3;2010
AT332;70347;St.Sigmund/Sellrain;46_65;56;47;9;47;9;47;9;2010
AT332;70347;St.Sigmund/Sellrain;65_00;30;28;2;27;3;27;3;2010
AT332;70348;Scharnitz;0_15;214;158;56;166;48;146;68;2010
AT332;70348;Scharnitz;16_25;126;110;16;105;21;104;22;2010
AT332;70348;Scharnitz;26_45;393;277;116;257;136;253;140;2010
AT332;70348;Scharnitz;46_65;349;277;72;256;93;253;96;2010
AT332;70348;Scharnitz;65_00;209;188;21;146;63;145;64;2010
AT332;70349;Schmirn;0_15;176;173;3;173;3;172;4;2010
AT332;70349;Schmirn;16_25;123;120;3;119;4;119;4;2010
AT332;70349;Schmirn;26_45;261;251;10;252;9;251;10;2010
AT332;70349;Schmirn;46_65;205;201;4;198;7;198;7;2010
AT332;70349;Schmirn;65_00;130;127;3;126;4;126;4;2010
AT332;70350;Schönberg/Stubaital;0_15;181;160;21;162;19;156;25;2010
AT332;70350;Schönberg/Stubaital;16_25;112;90;22;89;23;86;26;2010
AT332;70350;Schönberg/Stubaital;26_45;306;251;55;233;73;230;76;2010
AT332;70350;Schönberg/Stubaital;46_65;254;221;33;214;40;213;41;2010
AT332;70350;Schönberg/Stubaital;65_00;142;137;5;128;14;127;15;2010
AT332;70351;Seefeld in Tirol;0_15;460;351;109;398;62;335;125;2010
AT332;70351;Seefeld in Tirol;16_25;321;246;75;239;82;225;96;2010
AT332;70351;Seefeld in Tirol;26_45;864;566;298;529;335;517;347;2010
AT332;70351;Seefeld in Tirol;46_65;962;682;280;640;322;636;326;2010
AT332;70351;Seefeld in Tirol;65_00;554;489;65;425;129;424;130;2010
AT332;70352;Sellrain;0_15;184;178;6;175;9;175;9;2010
AT332;70352;Sellrain;16_25;160;159;1;156;4;156;4;2010
AT332;70352;Sellrain;26_45;374;353;21;346;28;346;28;2010
AT332;70352;Sellrain;46_65;386;380;6;370;16;370;16;2010
AT332;70352;Sellrain;65_00;234;225;9;212;22;211;23;2010
AT332;70353;Sistrans;0_15;402;389;13;380;22;373;29;2010
AT332;70353;Sistrans;16_25;237;230;7;230;7;230;7;2010
